table,public_count,tenant_count,status
tenant_locations,1,1,OK
tenant_sports,1,1,OK
tenant_age_categories,1,1,OK
tenant_terms,1,1,OK
tenant_pricing_items,1,1,OK
tenant_users,21,21,OK
tenant_admin_profiles,1,1,OK
tenant_coach_profiles,11,11,OK
tenant_parent_profiles,9,9,OK
tenant_invite_tokens,23,23,OK
tenant_parents,3,3,OK
tenant_students,4,4,OK
tenant_coaches,0,0,OK
tenant_classes,4,4,OK
tenant_enrollments,4,4,OK
tenant_attendance,2,2,OK
tenant_coach_attendance,0,0,OK
tenant_media_files,0,0,OK
tenant_billing_items,5,5,OK
tenant_invoices,5,5,OK
tenant_invoice_items,5,5,OK
tenant_receipts,3,3,OK
tenant_complaints,0,0,OK
tenant_quotas,1,1,OK
tenant_usages,1,1,OK
