table,public_count,tenant_count,status
tenant_locations,1,1,OK
tenant_sports,1,1,OK
tenant_age_categories,2,2,OK
tenant_terms,1,1,OK
tenant_pricing_items,2,2,OK
tenant_users,0,0,OK
tenant_admin_profiles,0,0,OK
tenant_coach_profiles,0,0,OK
tenant_parent_profiles,0,0,OK
tenant_invite_tokens,0,0,OK
tenant_parents,0,0,OK
tenant_students,0,0,OK
tenant_coaches,0,0,OK
tenant_classes,0,0,OK
tenant_enrollments,0,0,OK
tenant_attendance,0,0,OK
tenant_coach_attendance,0,0,OK
tenant_media_files,0,0,OK
tenant_billing_items,0,0,OK
tenant_invoices,0,0,OK
tenant_invoice_items,0,0,OK
tenant_receipts,0,0,OK
tenant_complaints,0,0,OK
tenant_quotas,1,1,OK
tenant_usages,1,1,OK
